Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Radial_D10.0mm_P5.00mm,102.3,-64,90,top
C2,100nF,C_0603_1608Metric,93.672323,-57.222323,180,top
C3,1uF,C_0805_2012Metric,93.54,-59.222323,0,top
C4,220uF,CP_Radial_D10.0mm_P5.00mm,87.04,-75.85,180,top
C5,100nF,C_0603_1608Metric,85.25,-82.25,180,top
C6,6.8uF,C_0603_1608Metric,103.75,-93.5,-90,top
C7,220uF,CP_Radial_D10.0mm_P5.00mm,121.75,-101.382323,-90,top
C8,100nF,C_0603_1608Metric,115.04,-103.75,-90,top
C9,47nF,C_0603_1608Metric,105,-81.1,0,top
C10,100nF,C_0603_1608Metric,106.5,-84.25,180,top
D1,D_TVS,D_SMB,111.3,-61.732323,90,top
D2,D_TVS,D_SMB,85.3,-85.5,180,top
D3,D_Schottky,D_SMC,131,-104.5,-90,top
D4,1N4148W,D_SOD-123,105.35,-86.25,0,top
J1,Conn_01x02_Socket,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,119,-59.25,-90,top
J2,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,111.24,-77.5,-90,top
J3,Conn_01x02_Socket,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,108.75,-101.75,-90,top
Q1,CSD19536KTT,KTT0002A,98.55,-72.64,180,top
Q2,CSD19536KTT,KTT0002A,115.71,-87.6,90,top
Q3,CSD19536KTT,KTT0002A,127.96,-87.5,90,top
R1,47kΩ,R_0603_1608Metric,92.15,-88.5,180,top
R2,620Ω,R_0603_1608Metric,92.125,-90.1,0,top
R3,180Ω,R_0603_1608Metric,92.125,-91.85,180,top
R4,7.5kΩ,R_0603_1608Metric,90.425,-93.5,180,top
R5,47kΩ,R_0603_1608Metric,95.75,-89.55,180,top
R6,620Ω,R_0603_1608Metric,95.775,-91.15,0,top
R7,4.3kΩ,R_0603_1608Metric,95.675,-92.7,180,top
R8,33Ω,R_0603_1608Metric,95.525,-94.45,0,top
R9,5mΩ,R_2512_6332Metric,95.5375,-80.75,0,top
R10,5mΩ,R_2512_6332Metric,95.5375,-85.66,0,top
R11,10Ω,R_0603_1608Metric,112.25,-96.5,180,top
R12,10Ω,R_0603_1608Metric,124.535,-97.35,180,top
R13,22kΩ,R_0603_1608Metric,106.25,-91,0,top
R14,100kΩ,R_0603_1608Metric,106.25,-89.5,0,top
R15,1kΩ,R_0603_1608Metric,101.25,-86.25,0,top
U1,LM74700QDBVRQ1,DBV0006A_N,93.489998,-62.847324,-90,top
U2,LM5069MMX-2/NOPB,MUB10A,101.5,-89.96,0,top
U3,MMBT5401LT1G,SOT-23-3_1P4X3P040_ONS,102.8975,-82.984,0,top
