Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
1,CSD18540Q5B,DNK0008A,176.635,-142.930001,90,top
2,CSD18540Q5B,DNK0008A,180.780001,-136.295,180,top
C1,47uF,C_1206_3216Metric,153.9,-139.9,90,top
C2,470nF,C_0603_1608Metric,159.75,-144.6,0,top
C3,33nF,C_0603_1608Metric,161.3,-146.5,0,top
C4,1uF,C_0805_2012Metric,172.4,-141.8,-90,top
C5,470nF,C_0603_1608Metric,172.25,-145.5,0,top
C6,3.9 nF,C_0603_1608Metric,168.825,-149,180,top
C7,220nF,C_0603_1608Metric,173,-149.8,90,top
C8,10uF,C_0805_2012Metric,180.2,-148.4,180,top
C9,470uF,CP_Radial_D10.0mm_P5.00mm,195.8,-133.9,90,top
C10,470uF,CP_Radial_D10.0mm_P5.00mm,195.8,-139.6,-90,top
C11,47uF,K-55_MUR,187.4,-133.7,90,top
D1,D_Schottky,D_SMA,181.25,-143.5,-90,top
J1,Conn_01x02_Socket,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,146.4325,-137.5,-90,top
J2,Conn_01x02_Socket,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,207.5675,-134.2,90,top
L1,22uH,IND_SER2918H_COC,168.4,-120.8063,0,top
R1,49.9kΩ,R_0603_1608Metric,157.5,-144.8,-90,top
R2,3.6 kΩ,R_0603_1608Metric,155.8,-144.9,90,top
R3,620 Ω,R_0603_1608Metric,154.1,-144.9,-90,top
R4,3.01Ω,R_0603_1608Metric,162,-143.8,-90,top
R5,2mΩ,R_2512_6332Metric,159,-140.25,0,top
R6,200 Ω,R_0603_1608Metric,158.2,-148.1,0,top
R7,43 kΩ,R_0603_1608Metric,161.3,-148.1,0,top
R8,390kΩ,R_0603_1608Metric,172.375,-147,0,top
R9,510Ω,R_0603_1608Metric,169.6,-151.4,-90,top
R10,2kΩ,R_0603_1608Metric,175.4,-147,0,top
R11,3.9kΩ,R_0603_1608Metric,172.2,-152.2,0,top
R12,7.5kΩ,R_0603_1608Metric,186.7,-139.125,-90,top
R13,100Ω,R_0603_1608Metric,175.4,-149,0,top
R14,1.5kΩ,R_0603_1608Metric,175.4,-150.6,180,top
R15,39kΩ,R_0603_1608Metric,185.17,-139.125,-90,top
U1,LM5122QMHX/NOPB,HTSSOP20,166.8448,-144.675,0,top
