Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_Every,Arduino_Nano,181.44,-116.75,90,top
C1,220 uF E,CP_Elec_4x5.4,144.25,-101,180,top
C2,4.7 uF,C_1206_3216Metric,149.4,-99.3,90,top
C3,4.7 uF,C_1206_3216Metric,151.9,-99.3,90,top
C4,4.7 uF,C_1206_3216Metric,154.5,-99.3,90,top
C5,2.2 μF,C_0603_1608Metric,158.5,-111.5,0,top
C6,4.7 uF,C_1206_3216Metric,157.1,-99.3,90,top
C7,4.7 uF,C_1206_3216Metric,159.7,-99.3,90,top
C8,47 nF,C_0402_1005Metric,155.275,-104,0,top
C9,4.7 uF,C_1206_3216Metric,162.2,-99.3,90,top
C10,0.1 μF,C_0603_1608Metric,152.25,-103.25,90,top
C11,10 pF,C_0402_1005Metric,162.5,-109.5,0,top
C12,0.1 μF,C_0603_1608Metric,165,-105.75,0,top
C13,6.8 nF,C_0603_1608Metric,157.6,-107.95,180,top
C14,150 pF,C_0603_1608Metric,157.8,-106.4,180,top
C15,47 μF,C_1210_3225Metric,146.9,-117,180,top
C16,47 μF,C_1210_3225Metric,146.9,-120.5,180,top
C17,820 pF,C_0603_1608Metric,152.8,-105.5,180,top
C18,47 μF,C_1210_3225Metric,146.9,-124,180,top
C19,47 μF,C_1210_3225Metric,146.9,-127.6,180,top
C20,47 μF,C_1210_3225Metric,146.9,-131.2,180,top
C21,680 µF P,MA35V680M10X13,157.7,-137,0,top
C22,33nF,C_0603_1608Metric,209.24,-98.14,90,top
D1,R LED,LED_0402_1005Metric,160.5,-110,-90,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,139,-98,0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,139,-151,0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,170,-151,0,top
FID4,Fiducial,Fiducial_1mm_Mask2mm,176,-98,0,top
FID5,Fiducial,Fiducial_1mm_Mask2mm,176,-154,0,top
FID6,Fiducial,Fiducial_1mm_Mask2mm,224,-154,0,top
J1,Conn_01x02_Socket,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,142.25,-107.25,-90,top
J2,Conn_01x02_Socket,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,156,-148,0,top
J3,Conn_01x02_Socket,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,223.5,-126.5,90,top
J4,Conn_01x02_Socket,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,195.64,-129.79,-90,top
J5,Conn_01x02_Socket,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,207.5,-151.75,0,top
L1,3.3uH,MS1770-3R3M,159.8,-121.8,180,top
Q1,NVTFS5C670NLTAG,WDFN8_511AB_ONS,165.525001,-102.78,90,top
Q2,BSC014N06NS,INF-PG-TDSON-8-FL,168.6604,-110.475,-90,top
R1,4.7 kΩ,R_0402_1005Metric,160,-112.8,0,top
R2,24.9 kΩ,R_0603_1608Metric,158.5,-104.075,90,top
R3,100 kΩ,R_0603_1608Metric,157,-103.125,90,top
R4,17.8 kΩ,R_0603_1608Metric,149.5,-103.075,90,top
R5,4.42 kΩ,R_0805_2012Metric,157.2,-109.75,180,top
R6,499 Ω,R_0603_1608Metric,162.925,-110.75,0,top
R7,7.5 kΩ,R_0603_1608Metric,155.2,-106.25,90,top
R8,150 Ω,R_0603_1608Metric,151.6,-107.775,-90,top
R9,23.2 kΩ,R_0603_1608Metric,153.35,-107.775,-90,top
R10,1k,R_0603_1608Metric,199.24,-119.815,-90,top
R11,1k,R_0603_1608Metric,204.24,-119.765,-90,top
R12,1k,R_0603_1608Metric,206.84,-119.94,-90,top
R13,1k,R_0603_1608Metric,208.64,-119.94,-90,top
R14,1k,R_0603_1608Metric,211.84,-119.94,-90,top
R15,3.3k,R_0603_1608Metric,213.44,-119.94,90,top
R16,10k,R_0603_1608Metric,206.74,-98.89,0,top
R17,1.5k,R_0603_1608Metric,204.24,-98.14,90,top
R18,3.3k,R_0603_1608Metric,210.24,-119.94,90,top
U1,LM5146QRGYTQ1,RGY0020B,161.350001,-106.25,0,top
U2,VNH5019A-E,SOIC_5019A-E_STM,209.368201,-136.5943,-90,top
U3,CSD18543Q3A,DNH0008A,206.215002,-124.190001,90,top
