Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,210.35,-114,-90,top
C2,4.7uF,C_0603_1608Metric,196.3,-92.775,90,top
C3,100nF,C_0603_1608Metric,217.7,-112.38,-90,top
C4,100nF,C_0603_1608Metric,206.5,-111.355,-90,top
C5,100nF,C_0603_1608Metric,205,-111.355,-90,top
C6,4.7uF,C_0603_1608Metric,218.8,-99.68,90,top
C7,100nF,C_0603_1608Metric,220.3,-99.68,90,top
C8,4.7uF,C_0603_1608Metric,208,-97.08,90,top
C9,100nF,C_0603_1608Metric,221.25,-102.2,0,top
C10,1uF,C_0603_1608Metric,221.275,-103.7,0,top
C11,100nF,C_0603_1608Metric,224.5,-101.68,0,top
C12,1uF,C_0603_1608Metric,221.5,-105.58,0,top
C13,10nF,C_0603_1608Metric,221.225,-107.48,0,top
C14,10nF,C_0603_1608Metric,221.225,-108.98,0,top
FB1,FerriteBead_Small,R_0603_1608Metric,220,-112.28,180,top
J1,Pi URAT,PinHeader_1x02_P2.54mm_Vertical,230.9,-103.425,0,top
J14,Left,PinHeader_2x10_P2.54mm_Vertical,183.18,-92.3,0,top
J15,Right,PinHeader_2x10_P2.54mm_Vertical,239.06,-92.3,0,top
R1,100Ω,R_0603_1608Metric,224.5,-106.2,0,top
R2,100Ω,R_0603_1608Metric,224.475,-104.7,0,top
R3,100Ω,R_0603_1608Metric,213.2,-114.08,90,top
R4,100Ω,R_0603_1608Metric,214.7,-114.105,90,top
R5,100Ω,R_0603_1608Metric,204.175,-105.18,180,top
R6,1kΩ,R_0603_1608Metric,210.17,-97.08,90,top
R7,100Ω,R_0603_1608Metric,204.025,-106.8,0,top
R8,100Ω,R_0603_1608Metric,204.2,-108.5,0,top
R9,3.3kΩ,R_0603_1608Metric,213.5,-97.05,-90,top
R10,3.3kΩ,R_0603_1608Metric,222.525,-100.18,180,top
R11,100Ω,R_0603_1608Metric,201.1,-108.38,0,top
R12,680Ω,R_0603_1608Metric,224.5,-108.08,180,top
R13,10kΩ,R_0603_1608Metric,204.2,-102.55,180,top
R14,1kΩ,R_0603_1608Metric,215.45,-97.08,90,top
R15,3.3kΩ,R_0603_1608Metric,201,-103.88,0,top
R16,1kΩ,R_0603_1608Metric,216,-93.955,-90,top
R17,1kΩ,R_0603_1608Metric,211.2,-93.93,90,top
R18,100Ω,R_0603_1608Metric,224.425,-103.18,180,top
R19,100Ω,R_0603_1608Metric,200.925,-105.38,0,top
R20,100Ω,R_0603_1608Metric,208.2,-93.98,90,top
R21,100Ω,R_0603_1608Metric,214.45,-93.9,90,top
R22,1kΩ,R_0603_1608Metric,211.67,-97.08,-90,top
R23,100Ω,R_0603_1608Metric,212.85,-93.9,-90,top
R24,3.3kΩ,R_0603_1608Metric,201.025,-106.88,0,top
R25,100Ω,R_0603_1608Metric,209.7,-93.93,90,top
R26,3.3kΩ,R_0603_1608Metric,211.269,-91.6,0,top
R27,680Ω,R_0603_1608Metric,224.4,-111.18,180,top
R28,100Ω,R_0603_1608Metric,216.2,-114.08,-90,top
R29,1kΩ,R_0603_1608Metric,217.3,-97.155,-90,top
R30,100Ω,R_0603_1608Metric,221.2,-110.58,0,top
R31,1kΩ,R_0603_1608Metric,217.5,-93.98,-90,top
R32,100Ω,R_0603_1608Metric,224.5,-109.58,0,top
R33,100Ω,R_0603_1608Metric,227.5,-106.88,0,top
U1,STM32G473RCT6,LQFP64-10x10mm,212.6,-105.58,90,top
U2,MIC5365-3.3YD5,SOT-23-5,199.6,-93.8,0,top
