Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Main_Arduino_Nano_Every,Arduino_Nano,81.28,-111.76,90,top
A2,Sub_Arduino_Nano_Every,Arduino_Nano,81.28,-92.43,90,top
J14,Left,PinHeader_2x10_P2.54mm_Vertical,71.12,-83.82,0,top
J15,Right,PinHeader_2x10_P2.54mm_Vertical,127,-83.82,0,top
R1,10kΩ,R_0603_1608Metric,76.5,-110,-90,top
R2,1kΩ,R_0603_1608Metric,68.5,-101.5,-90,top
R3,1kΩ,R_0603_1608Metric,96,-108.5,90,top
R4,1kΩ,R_0603_1608Metric,132.5,-110.5,90,top
R5,1kΩ,R_0603_1608Metric,99,-106.5,-45,top
R6,1kΩ,R_0603_1608Metric,82.825,-103,0,top
R7,3.3kΩ,R_0603_1608Metric,105.675,-109.5,0,top
R8,1kΩ,R_0603_1608Metric,130.5,-110.5,-90,top
R10,1kΩ,R_0603_1608Metric,106,-105.5,-45,top
R11,100Ω,R_0603_1608Metric,119.5,-106.5,45,top
R12,100Ω,R_0603_1608Metric,125.083363,-110.416637,45,top
R14,3.3kΩ,R_0603_1608Metric,123,-94.5,-90,top
R16,1kΩ,R_0603_1608Metric,79.583363,-99,0,top
R18,1kΩ,R_0603_1608Metric,119.5,-98.5,-90,top
R19,100Ω,R_0603_1608Metric,111,-101,-45,top
R20,100Ω,R_0603_1608Metric,110.5,-102.916637,-45,top
R21,4.7kΩ,R_0603_1608Metric,94.5,-80,0,top
R22,4.7kΩ,R_0603_1608Metric,97,-82,0,top
R23,3.3kΩ,R_0603_1608Metric,78,-94.5,90,top
R24,3.3kΩ,R_0603_1608Metric,76.5,-95.325,90,top
R25,100Ω,R_0603_1608Metric,80.5,-85,0,top
R26,100Ω,R_0603_1608Metric,90.583363,-89.083363,-45,top
R27,100Ω,R_0603_1608Metric,96.5,-89.5,-90,top
R29,100Ω,R_0603_1608Metric,100.5,-86.675,-90,top
R30,100Ω,R_0603_1608Metric,79,-90,-45,top
R31,100Ω,R_0603_1608Metric,92,-98.5,0,top
R32,100Ω,R_0603_1608Metric,111.583363,-87.416637,45,top
R33,100Ω,R_0603_1608Metric,121.5,-86,0,top
R34,100Ω,R_0603_1608Metric,123.5,-92,0,top
R35,100Ω,R_0603_1608Metric,124.083363,-79,-45,top
R36,100Ω,R_0603_1608Metric,80,-105.5,0,top
R37,100Ω,R_0603_1608Metric,122.825,-90,0,top
R38,100Ω,R_0603_1608Metric,111,-80.5,-45,top
